,IncGeo_WardName,DelayCodeId,tmoyCodeId,tmedCodeId,tstdCodeId,tminCodeId,tmaxCodeId
307,WALL END,9.0,505.1666666666667,512.5,139.7646831880882,361.0,735.0
308,WALL END,8.0,429.0,429.0,35.35533905932738,404.0,454.0
309,WALL END,13.0,361.0,361.0,0.0,361.0,361.0
310,WALL END,11.0,368.0,368.0,0.0,368.0,368.0
311,ABBEY,0.0,236.6706349206349,247.0,77.2361634921731,3.0,394.0
312,ABBEY,12.0,456.7708333333333,423.0,107.63259800117373,361.0,959.0
313,ABBEY,9.0,475.2,423.0,193.15286322348052,371.0,1145.0
314,ABBEY,5.0,712.5,697.0,245.3069505741735,384.0,1104.0
315,ABBEY,8.0,469.5,500.5,69.52457599055651,366.0,511.0
316,ABBEY,3.0,430.0,430.0,0.0,430.0,430.0
317,ENFIELD HIGHWAY,0.0,244.18120805369128,235.0,62.25503927190925,122.0,419.0
318,ENFIELD HIGHWAY,9.0,543.0909090909091,526.0,114.25800151013893,403.0,703.0
319,ENFIELD HIGHWAY,7.0,495.0,495.0,90.50966799187809,431.0,559.0
320,ENFIELD HIGHWAY,12.0,497.1818181818182,454.0,130.38799181324524,366.0,835.0
321,ENFIELD HIGHWAY,5.0,719.25,683.5,222.42508101980465,514.0,996.0
322,ENFIELD HIGHWAY,8.0,457.0,427.0,104.28806259586952,371.0,573.0
323,ENFIELD HIGHWAY,13.0,371.0,371.0,0.0,371.0,371.0
324,ENFIELD HIGHWAY,11.0,421.0,421.0,0.0,421.0,421.0
325,QUEEN'S PARK,0.0,250.5076923076923,251.0,61.85206734575128,5.0,377.0
326,QUEEN'S PARK,11.0,716.0,716.0,72.12489168102785,665.0,767.0
327,QUEEN'S PARK,9.0,400.57142857142856,394.0,37.23285799244687,370.0,470.0
328,QUEEN'S PARK,12.0,430.94444444444446,405.5,86.99119104979215,360.0,722.0
329,QUEEN'S PARK,8.0,412.0,412.0,0.0,412.0,412.0
330,ST. ANN'S,0.0,306.8360655737705,323.0,58.400108540957596,12.0,365.0
331,ST. ANN'S,12.0,435.16,402.0,88.58737682837963,363.0,754.0
332,ST. ANN'S,9.0,441.27272727272725,413.0,73.74834358694561,362.0,622.0
333,ST. ANN'S,13.0,457.0,464.0,70.76015828133795,383.0,524.0
334,ST. ANN'S,8.0,453.5,453.5,81.31727983645297,396.0,511.0
335,ST. ANN'S,11.0,600.0,600.0,0.0,600.0,600.0
